n_friend_index,n_friend_name,n
1302,18nh_02853261,4
1302,18nh_02853261,5
1305,18nh_02898515,4
1305,18nh_02898515,5
1306,18nh_02921774,4
1306,18nh_02921774,5
1307,18nh_02931473,4
1307,18nh_02931473,5
1310,18nh_02971906,4
1310,18nh_02971906,5
1311,18nh_02983718,4
1311,18nh_02983718,5
1313,18nh_02988514,4
1313,18nh_02988514,5
1314,18nh_03012869,4
1314,18nh_03012869,5
1318,18nh_03040611,4
1318,18nh_03040611,5
1319,18nh_03040612,4
1319,18nh_03040612,5
1321,18nh_03081168,4
1321,18nh_03081168,5
1322,18nh_03081169,4
1322,18nh_03081169,5
1323,18nh_03081170,4
1323,18nh_03081170,5
1325,18nh_03081172,4
1325,18nh_03081172,5
1326,18nh_03081173,4
1326,18nh_03081173,5
1327,18nh_03081174,4
1327,18nh_03081174,5
1328,18nh_03081175,4
1328,18nh_03081175,5
1332,18nh_03098867,4
1332,18nh_03098867,5
1333,18nh_03100368,4
1333,18nh_03100368,5
1334,18nh_03112447,4
1334,18nh_03112447,5
1335,18nh_03112448,4
1335,18nh_03112448,5
1341,18nh_03139729,4
1341,18nh_03139729,5
1342,18nh_03139732,4
1342,18nh_03139732,5
1352,18nh_03258713,4
1352,18nh_03258713,5
1355,18nh_03296630,4
1355,18nh_03296630,5
1356,18nh_03300702,4
1356,18nh_03300702,5
1360,18nh_03327064,4
1360,18nh_03327064,5
1369,18nh_03406491,4
1369,18nh_03406491,5
1373,18nh_03464598,4
1373,18nh_03464598,5
1380,18nh_03497148,4
1380,18nh_03497148,5
1383,18nh_03549100,4
